"TimeStamp,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight,PupilSize,Trigger,Subject_ID,Calibration_status"
"4880.4,,,0,,,0,,,,0,,0,,3001,0,0"
"4897.1,,,0,,,0,,,,0,,0,,3001,0,0"
"4913.7,,,0,,,0,,,,0,,0,,3001,0,0"
"4930.4,,,0,,,0,,,,0,,0,,3001,0,0"
"4947.0,,,0,,,0,,,,0,,0,,3001,0,0"
"4963.7,,,0,,,0,,,,0,,0,,3001,0,0"
"4980.4,,,0,,,0,,,,0,,0,,3001,0,0"
"4997.0,,,0,,,0,,,,0,,0,,3001,0,0"
"5013.7,,,0,,,0,,,,0,,0,,3001,0,0"
"5030.3,,,0,,,0,,,,0,,0,,3001,0,0"
"5047.0,,,0,,,0,,,,0,,0,,3001,0,0"
"5063.6,,,0,,,0,,,,0,,0,,3001,0,0"
"5080.3,,,0,,,0,,,,0,,0,,3001,0,0"
"5096.9,,,0,,,0,,,,0,,0,,3001,0,0"
"5113.6,,,0,,,0,,,,0,,0,,3001,0,0"
"5130.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5146.9,,,0,,,0,,,,0,,0,,3001,0,0"
"5163.6,,,0,,,0,,,,0,,0,,3001,0,0"
"5180.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5196.9,,,0,,,0,,,,0,,0,,3001,0,0"
"5213.5,,,0,,,0,,,,0,,0,,3001,0,0"
"5230.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5246.8,,,0,,,0,,,,0,,0,,3001,0,0"
"5263.5,,,0,,,0,,,,0,,0,,3001,0,0"
"5280.1,,,0,,,0,,,,0,,0,,3001,0,0"
"5315.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5331.9,,,0,,,0,,,,0,,0,,3001,0,0"
"5348.5,,,0,,,0,,,,0,,0,,3001,0,0"
"5365.2,,,0,,,0,,,,0,,0,,3001,0,0"
"5381.8,,,0,,,0,,,,0,,0,,3001,0,0"
"5398.5,,,0,,,0,,,,0,,0,,3001,0,0"
"5415.1,,,0,,,0,,,,0,,0,,3001,0,0"
"5431.8,,,0,,,0,,,,0,,0,,3001,0,0"
"5448.4,,,0,,,0,,,,0,,0,,3001,0,0"
"5465.1,,,0,,,0,,,,0,,0,,3001,0,0"
"5481.8,,,0,,,0,,,,0,,0,,3001,0,0"
"5498.4,,,0,,,0,,,,0,,0,,3001,0,0"
"5515.1,,,0,,,0,,,,0,,0,,3001,0,0"
"5531.7,,,0,,,0,,,,0,,0,,3001,0,0"
"5548.4,,,0,,,0,,,,0,,0,,3001,0,0"
"5565.0,,,0,,,0,,,,0,,0,,3001,0,0"
"5581.7,,,0,,,0,,,,0,,0,,3001,0,0"
"5598.3,,,0,,,0,,,,0,,0,,3001,0,0"
